o.,NAME,SUB DISTRICT,DISTRICT,STATE,LEVEL,2001CensusCODE,LAT.,LNG.
102,Pura,Darbhanga,Darbhanga,Bihar,Village,1.01E+15,26.158089,85.966228
103,Pura,Shivaji Nagar,Samastipur,Bihar,Village,1.02E+15,25.879283,86.000957
104,Pura,Barh,Patna,Bihar,Village,1.03E+15,25.426791,85.647785
105,pura,Ekangarsarai,Nalanda,Bihar,Village,1.03E+15,25.278031,85.195358
106,Pura,Tikari,Gaya,Bihar,Village,1.04E+15,24.944818,84.89352
107,Pura,Wazirganj,Gaya,Bihar,Village,1.04E+15,24.815974,85.23875
108,Pura,Takhatpur,Bilaspur,Chhattisgarh,Village,2.21E+15,22.196559,81.864231
109,Pura,Harraiya,Basti,Uttar Pradesh,,9.55E+14,26.915766,82.50394
110,Pura,Bilhaur,Kanpur Nagar,Uttar Pradesh,,9.34E+14,26.734469,80.09589
111,Pura,Madhogarh,Jalaun,Uttar Pradesh,,9.35E+14,26.418265,79.29528
112,Pura,Patti,Pratapgarh,Uttar Pradesh,,9.43E+14,25.995423,82.383457
113,Pura,Bansdih,Ballia,Uttar Pradesh,,9.63E+14,25.844772,84.263927
114,Pura,Maudaha,Hamirpur,Uttar Pradesh,,9.38E+14,25.564666,80.004627
115,Pura,Sakaldiha,Chandauli,Uttar Pradesh,,9.66E+14,25.489615,83.186046
116,Pura,Garautha,Jhansi,Uttar Pradesh,,9.36E+14,25.469848,79.36417
117,Pura,Sakaldiha,Chandauli,Uttar Pradesh,,9.66E+14,25.432241,83.192535
118,Pura,Mau,Chitrakoot,Uttar Pradesh,,9.41E+14,25.250498,81.298789
119,Pura,Jhansi,Jhansi,Uttar Pradesh,,9.36E+14,25.208565,78.48666
120,Pura,Lalitpur,Lalitpur,Uttar Pradesh,,9.37E+14,24.304766,78.354476
121,Pura,Karjan,Vadodara,Gujarat,Village,2.42E+15,21.850966,73.171501
122,Pura,Kushtagi,Koppal,Karnataka,Village,2.91E+15,15.703545,76.466964
123,Pura,Kundgol,Dharwad,Karnataka,Village,2.91E+15,15.281363,75.227958
124,Pura,Haliyal,Uttara Kannada,Karnataka,Village,2.91E+15,15.266218,74.769371
125,Pura,Sirsi,Uttara Kannada,Karnataka,Village,2.91E+15,14.661794,74.901332
126,Pura,Sorab,Shimoga,Karnataka,Village,2.92E+15,14.445692,74.985202
127,Pura,Sorab,Shimoga,Karnataka,Village,2.92E+15,14.302274,75.133171
128,Pura,Sira,Tumkur,Karnataka,Village,2.92E+15,13.676199,76.723731
129,Pura,Kadur,Chikmagalur,Karnataka,Village,2.92E+15,13.632677,76.14302
130,Pura,Gauribidanur,Kolar,Karnataka,Village,2.92E+15,13.530994,77.581031
131,Pura,Chiknayakanhalli,Tumkur,Karnataka,Village,2.92E+15,13.454513,76.540462
132,Pura,Arsikere,Hassan,Karnataka,Village,2.92E+15,13.44174,76.215263
133,Pura,Gubbi,Tumkur,Karnataka,Village,2.92E+15,13.437816,76.788619
134,Pura,Dod Ballapur,Bangalore Rural,Karnataka,Village,2.92E+15,13.434145,77.483959
135,Pura,Sidlaghatta,Kolar,Karnataka,Village,2.92E+15,13.33453,77.826316
136,Pura,Devanahalli,Bangalore Rural,Karnataka,Village,2.92E+15,13.322914,77.779167
137,Pura,Arsikere,Hassan,Karnataka,Village,2.92E+15,13.317612,76.34349
138,Pura,Chikmagalur,Chikmagalur,Karnataka,Village,2.92E+15,13.312804,75.558368
139,Pura,Gubbi,Tumkur,Karnataka,Village,2.92E+15,13.295676,76.857067
140,Pura,Turuvekere,Tumkur,Karnataka,Village,2.92E+15,13.16925,76.724075
141,Pura,Mudigere,Chikmagalur,Karnataka,Village,2.92E+15,13.133126,75.736473
142,Pura,Belur,Hassan,Karnataka,Village,2.92E+15,13.105754,75.920932
143,Pura,Belur,Hassan,Karnataka,Village,2.92E+15,13.046687,75.883743
144,Pura,Channarayapatna,Hassan,Karnataka,Village,2.92E+15,13.033536,76.567417
145,Pura,Malur,Kolar,Karnataka,Village,2.92E+15,12.925565,77.865032
146,Pura,Nagamangala,Mandya,Karnataka,Village,2.92E+15,12.884206,76.651439
147,Pura,Bangarapet,Kolar,Karnataka,Village,2.92E+15,12.841784,78.156227
148,Pura,Kunigal,Tumkur,Karnataka,Village,2.92E+15,12.827279,76.999801
149,Pura,Nagamangala,Mandya,Karnataka,Village,2.92E+15,12.785249,76.66011
150,Pura,Krishnarajpet,Mandya,Karnataka,Village,2.92E+15,12.690355,76.471733
151,Pura,Mandya,Mandya,Karnataka,Village,2.92E+15,12.477722,76.932563
152,Pura,Shrirangapattana,Mandya,Karnataka,Village,2.92E+15,12.374123,76.597991
153,Pura,Heggadadevankote,Mysore,Karnataka,Village,2.93E+15,12.260807,76.450275
154,Pura,Heggadadevankote,Mysore,Karnataka,Village,2.93E+15,12.119042,76.479598
155,Pura,Heggadadevankote,Mysore,Karnataka,Village,2.93E+15,11.993362,76.334701
156,Pura,Mehgaon,Bhind,Madhya Pradesh,Village,2.30E+15,26.318699,78.817516
157,Pura,Vijaypur,Sheopur,Madhya Pradesh,Village,2.30E+15,25.943903,76.991645
158,Pura,Pohari,Shivpuri,Madhya Pradesh,Village,2.31E+15,25.411903,77.225543
159,Pura,Laundi,Chhatarpur,Madhya Pradesh,Village,2.31E+15,25.228499,79.944824
160,Pura,Khaniyadhana,Shivpuri,Madhya Pradesh,Village,2.31E+15,25.105661,78.051944
161,Pura,Kolaras,Shivpuri,Madhya Pradesh,Village,2.31E+15,25.041067,77.412502
162,Pura,Bada-Malhera,Chhatarpur,Madhya Pradesh,Village,2.31E+15,24.538957,79.07497
163,Pura,Aron,Guna,Madhya Pradesh,Village,2.31E+15,24.384415,77.323158
164,Pura,Singrauli,Sidhi,Madhya Pradesh,Village,2.32E+15,23.8303,82.208461
165,Pura,Gotegaon,Narsimhapur,Madhya Pradesh,Village,2.34E+15,23.104093,79.602432
166,Pura,Kannod,Dewas,Madhya Pradesh,Village,2.32E+15,22.493719,76.595321
167,Pura,Gandhwani,Dhar,Madhya Pradesh,Village,2.33E+15,22.430239,74.915824
168,Pura,Kukshi,Dhar,Madhya Pradesh,Village,2.33E+15,22.116371,74.883739
169,Pura,Thikri,Barwani,Madhya Pradesh,Village,2.33E+15,22.091891,75.281417
170,Pura,Parasia,Chhindwara,Madhya Pradesh,Village,2.34E+15,22.036028,78.817073
171,Pura,Nepanagar,East Nimar,Madhya Pradesh,Village,2.33E+15,21.562006,76.284713
172,Pura,Rupbas,Bharatpur,Rajasthan,Village,8.07E+14,26.94145,77.56467
173,Pura,Jhalrapatan,Jhalawar,Rajasthan,Village,8.32E+14,24.526945,76.249546
174,Pura,Pirawa,Jhalawar,Rajasthan,Village,8.32E+14,24.233792,75.900222
175,Pura,Budhana,Muzaffarnagar,Uttar Pradesh,Village,9.02E+14,29.340471,77.647975
176,Pura,Khekada,Baghpat,Uttar Pradesh,Village,9.08E+14,28.991077,77.460247
178,Pura,Chandausi,Moradabad,Uttar Pradesh,Village,9.04E+14,28.415781,78.694923
179,Pura,Etah,Etah,Uttar Pradesh,Village,9.17E+14,27.518379,78.718616
180,Pura,Mathura,Mathura,Uttar Pradesh,Village,9.14E+14,27.343698,77.588153
181,Pura,Arambag,Hugli,West Bengal,Village,1.91E+15,22.795316,87.891464
